@Relation EEGDataTraining_54

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE Feature45 NUMERIC
@ATTRIBUTE Feature46 NUMERIC
@ATTRIBUTE Feature47 NUMERIC
@ATTRIBUTE Feature48 NUMERIC
@ATTRIBUTE Feature49 NUMERIC
@ATTRIBUTE Feature50 NUMERIC
@ATTRIBUTE Feature51 NUMERIC
@ATTRIBUTE Feature52 NUMERIC
@ATTRIBUTE Feature53 NUMERIC
@ATTRIBUTE Feature54 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4296.41,4003.59,4262.56,4126.15,4329.23,4618.46,4077.44,4601.54,4190.26,4235.9,4190.77,4283.08,4589.74,4369.74,4109.18,4086.78,4145.25,4018.26,4179.93,4168.18,4070.96,4021.99,3966.32,4158.39,4047.72,4021.36,4082.72,4146.51,3958.07,4031.9,4088.02,4066.05,4129.91,4039.33,3973.86,4013.61,4034.58,4032.29,4045.45,4187.62,4110.73,4109.21,4165.21,3960.67,4076.09,3969.59,3992.51,4185.3,4187.1,4125.03,4074.94,4166.37,4039.01,4088.44,0
4299.49,3997.95,4264.62,4104.62,4341.03,4617.95,4088.21,4617.95,4203.59,4218.97,4191.28,4298.97,4626.15,4368.21,4110.78,4196.36,4104.11,4131.03,3996.34,4156.36,4081.87,4075.64,4147.2,4121.63,4067.01,4021.12,4192.91,4159.2,4059.94,4104.23,4150.67,4078.98,4160.51,4192.16,3963.99,4010.37,4183.05,3988.99,4125.13,4141.82,4046.87,4102.34,3957.11,4050.89,4046.34,3966.06,4180.87,4177.08,4132.72,4046.86,3980.48,4117.5,4077.56,4125.2,1
4220.51,3973.33,4229.74,4106.15,4326.15,4613.85,4069.74,4603.08,4190.77,4208.72,4169.74,4254.36,4548.21,4298.97,4103.72,4025.75,4157.33,4109.47,4012.05,4187.57,4160.74,4197.58,4160.28,3951.39,3951.17,3961.74,4197.08,4038.27,4000.34,4117.18,4195.83,4142.6,3996.45,4014.89,3975.61,4041.13,4186.52,4129.93,4167.98,4146.93,4198.12,4058.38,3985.49,4098.64,4018.06,3956.42,4072.79,4007.05,4193.23,3964.04,3951.32,4029.45,4049.34,4043.32,0
4310.26,4020,4265.13,4136.41,4338.46,4608.21,4057.95,4592.82,4186.67,4207.18,4191.28,4273.33,4595.38,4375.38,3993.32,4003.9,3967.84,4172.38,3963.47,3999.49,4114.89,4080.03,4058.15,4079.78,4107.36,4019.0,4194.86,4120.75,4036.5,4099.08,4183.3,4077.5,4038.64,4064.15,4188.3,4155.33,3972.02,4165.25,4165.55,4118.56,4135.12,4180.2,4068.92,4125.5,4036.01,4012.72,4074.97,4151.51,4113.19,4127.75,3951.37,4132.48,4031.97,4076.71,1
4309.74,4008.21,4281.03,4141.03,4334.36,4602.05,4084.62,4618.97,4212.82,4242.05,4213.33,4289.74,4625.64,4363.59,4195.04,4099.62,4130.09,4148.55,3992.68,3954.69,4013.59,3976.57,4040.42,4167.5,4122.75,3952.92,4191.51,4061.56,3984.58,3986.25,4034.76,4048.58,3961.13,4060.43,4083.59,4114.44,4153.52,4198.11,4084.71,4047.37,4090.3,4018.33,4065.62,3977.67,4086.81,4000.74,4166.85,4160.67,4018.65,4169.37,4076.39,4123.71,4143.7,4048.63,0
4277.95,3993.85,4238.46,4106.15,4327.69,4606.67,4048.21,4592.82,4175.9,4208.21,4178.97,4257.95,4604.62,4329.74,3984.98,4013.76,4020.37,4113.04,3978.36,4015.96,4041.49,4032.72,4086.99,3960.13,4120.82,4016.59,4031.48,4134.96,3962.45,4028.75,4009.93,4177.77,4097.41,4187.16,4071.72,4095.07,4198.48,3955.28,4023.3,4066.73,4109.07,4085.85,3971.77,4022.65,3974.45,4011.46,4181.96,3999.4,4088.11,4198.61,4114.01,4145.33,4020.26,3952.78,1
4287.69,3952.82,4250.77,4078.46,4315.9,4587.69,4088.72,4616.41,4210.77,4238.46,4224.62,4286.67,4642.05,4390.77,4008.28,4071.13,4155.9,4176.93,4069.5,3982.64,3977.91,4018.83,3980.54,4080.21,3982.38,4110.02,4111.2,4064.36,4016.07,4014.57,4156.88,3952.28,4168.09,4195.29,4007.33,4044.68,4155.81,4030.39,3968.09,4009.49,3979.56,4009.14,3964.96,4027.3,4039.54,4113.59,4075.66,3973.58,4089.77,4117.52,4038.05,4111.97,3981.28,4083.25,1
4324.1,4032.31,4267.18,4125.64,4345.13,4632.31,4082.05,4610.26,4203.59,4240,4209.74,4299.49,4606.67,4388.21,4198.71,3951.57,4140.63,3985.58,4058.24,4198.93,3955.32,4024.66,4052.63,3996.35,4044.02,4173.14,4005.02,4157.13,4168.92,4186.92,4150.59,3975.25,4029.5,4013.48,4088.34,3953.61,3960.45,3951.59,4114.35,4089.64,3961.45,4043.21,4055.59,4077.33,4178.79,4006.47,3985.21,3977.72,4051.04,3950.96,4137.79,4143.41,4155.65,4103.73,0
4288.72,3993.85,4257.95,4114.36,4327.18,4620.51,4066.15,4621.03,4209.74,4249.23,4226.67,4289.74,4630.26,4371.79,4054.01,4132.6,4052.83,3989.46,4182.81,3973.56,4062.22,4158.06,4139.65,4153.74,4170.94,4189.11,4136.92,4127.12,4024.23,4199.98,4098.06,4020.47,3956.11,4131.5,3958.0,4179.5,4030.98,4046.86,3973.61,4051.04,4137.51,4025.04,4004.63,4025.47,4008.0,4195.19,4160.58,4050.01,3974.81,4162.85,3954.05,4037.55,4174.46,4070.74,0
4220,3974.36,4234.36,4109.23,4341.03,4613.85,4077.95,4600.51,4186.67,4216.41,4170.26,4248.21,4547.69,4285.13,4145.55,3957.01,4132.16,4077.54,4045.55,3961.02,4036.85,3988.43,3956.59,4087.06,3996.33,4035.79,4125.1,4076.32,4086.61,3990.4,4176.61,4082.57,4177.56,4118.15,4064.22,3954.76,4188.72,4144.8,4139.03,4044.11,4134.62,4155.32,4186.12,4017.32,4135.17,3967.34,4199.07,4108.8,4140.92,4035.55,4124.34,4030.84,3996.99,4067.95,0
